cohort,subgroup,headline_model,comparator,n,events,delta_cindex,ci_low,ci_high,p
GSE20685,overall,Gradient_Boosted_Survival,PAM50_ROR_official,327,83,-0.06999573196756292,-0.15375488366478451,0.020409002628469126,0.10545978333467312
GSE20685,overall,Gradient_Boosted_Survival,Cox_PH,327,83,0.03077725612936877,-0.02428598440244811,0.08738387888021455,0.2891573279508006
GSE20685,overall,Gradient_Boosted_Survival,Combined_ML_PAM50,327,83,-0.051477213449044434,-0.08154555286745827,-0.017715846154773923,0.0018718534547503246
GSE20685,tnbc,Gradient_Boosted_Survival,PAM50_ROR_official,0,0,,,,
GSE20685,tnbc,Gradient_Boosted_Survival,Cox_PH,0,0,,,,
GSE20685,tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,0,0,,,,
GSE20685,non_tnbc,Gradient_Boosted_Survival,PAM50_ROR_official,327,83,-0.06999573196756292,-0.15375488366478451,0.020409002628469126,0.10545978333467312
GSE20685,non_tnbc,Gradient_Boosted_Survival,Cox_PH,327,83,0.03077725612936877,-0.02428598440244811,0.08738387888021455,0.2891573279508006
GSE20685,non_tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,327,83,-0.051477213449044434,-0.08154555286745827,-0.017715846154773923,0.0018718534547503246
GSE96058,overall,Gradient_Boosted_Survival,PAM50_ROR_official,1483,322,0.029807946860484713,-0.01095263402040907,0.06712130497925319,0.14566211057501235
GSE96058,overall,Gradient_Boosted_Survival,Cox_PH,1483,322,0.01932083463695211,-0.010935766272051863,0.04793125060241088,0.2087482632148112
GSE96058,overall,Gradient_Boosted_Survival,Combined_ML_PAM50,1483,322,-0.028523982575629936,-0.04077664661687561,-0.016474826923076755,3.7306344263565895e-06
GSE96058,tnbc,Gradient_Boosted_Survival,PAM50_ROR_official,55,27,0.02954545454545454,-0.1313289141414141,0.19470596834147766,0.7290701651357867
GSE96058,tnbc,Gradient_Boosted_Survival,Cox_PH,55,27,-0.009090909090909038,-0.13242899179680234,0.12117815157917543,0.8889231407155685
GSE96058,tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,55,27,-0.011363636363636354,-0.07529915985765273,0.04487000934945024,0.7060363940966583
GSE96058,non_tnbc,Gradient_Boosted_Survival,PAM50_ROR_official,1428,295,0.040927818531927174,2.058632516677714e-05,0.08063464521492997,0.05226297062103138
GSE96058,non_tnbc,Gradient_Boosted_Survival,Cox_PH,1428,295,0.026341876767056793,-0.0048605391354346016,0.0580877909984905,0.10113308446453954
GSE96058,non_tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,1428,295,-0.025628943201601362,-0.03670013902009631,-0.01428744185555968,1.3823706558251763e-05
METABRIC,overall,Gradient_Boosted_Survival,PAM50_ROR_official,1980,1143,-0.040005040472025355,-0.06345924175990914,-0.01806266555111984,0.0007921341241448518
METABRIC,overall,Gradient_Boosted_Survival,Cox_PH,1980,1143,-0.008043259109911882,-0.025255517608392505,0.0084050290781788,0.3594038235103243
METABRIC,overall,Gradient_Boosted_Survival,Combined_ML_PAM50,1980,1143,-0.032843122720668916,-0.04089977935748187,-0.024609454427510963,2.048942396311284e-14
METABRIC,tnbc,Gradient_Boosted_Survival,PAM50_ROR_official,320,168,-0.009981135794126739,-0.06962710675899587,0.05076825474109281,0.7435124284004707
METABRIC,tnbc,Gradient_Boosted_Survival,Cox_PH,320,168,-0.004518962750232225,-0.04741680304251323,0.038055160562783547,0.8371718841191783
METABRIC,tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,320,168,-0.01573894191513925,-0.049070745377848314,0.017841439120710834,0.36972902152772125
METABRIC,non_tnbc,Gradient_Boosted_Survival,PAM50_ROR_official,1660,975,-0.04224899869873089,-0.0674779210823265,-0.015403435998153971,0.0012883968364190348
METABRIC,non_tnbc,Gradient_Boosted_Survival,Cox_PH,1660,975,-0.004568172984300345,-0.021117325871343195,0.0142824821179445,0.6269574191854497
METABRIC,non_tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,1660,975,-0.03376011863518835,-0.04199091505346805,-0.024895447880048868,7.877330195657585e-15
TCGA-BRCA,overall,Gradient_Boosted_Survival,PAM50_ROR_official,213,132,0.16870111400805876,0.09187458776387267,0.2527852749148827,5.208893715462783e-05
TCGA-BRCA,overall,Gradient_Boosted_Survival,Cox_PH,213,132,0.038694003318321846,-0.003555922709700583,0.08267028346725014,0.0784970661177287
TCGA-BRCA,overall,Gradient_Boosted_Survival,Combined_ML_PAM50,213,132,-0.004918227068025693,-0.021800061628126702,0.01174495768809903,0.5556124165324805
TCGA-BRCA,tnbc,Gradient_Boosted_Survival,PAM50_ROR_official,33,19,0.11097560975609755,-0.027039757148452748,0.27152638729977097,0.15055699859896243
TCGA-BRCA,tnbc,Gradient_Boosted_Survival,Cox_PH,33,19,0.045121951219512235,-0.09128423417988785,0.20156213295748182,0.5527562165873201
TCGA-BRCA,tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,33,19,0.030487804878048808,-0.05595159774436083,0.12082403457724791,0.5010647527378916
TCGA-BRCA,non_tnbc,Gradient_Boosted_Survival,PAM50_ROR_official,180,113,0.20603246318607765,0.11628732440502669,0.29764457930967797,7.341220118826582e-06
TCGA-BRCA,non_tnbc,Gradient_Boosted_Survival,Cox_PH,180,113,0.04421854082998666,0.0030377103729923834,0.08508991435290437,0.0386149518253059
TCGA-BRCA,non_tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,180,113,-0.006484270414993332,-0.021523456865663565,0.00836668442878035,0.40687544032348844
