cohort,subgroup,headline_model,comparator,n,events,delta_cindex,ci_low,ci_high,p
GSE20685,overall,Gradient_Boosted_Survival,PAM50_ROR_surrogate,0,0,,,,
GSE20685,overall,Gradient_Boosted_Survival,Cox_PH,327,83,0.03077725612936877,-0.02428598440244811,0.08738387888021455,0.2891573279508006
GSE20685,overall,Gradient_Boosted_Survival,Combined_ML_PAM50,0,0,,,,
GSE20685,tnbc,Gradient_Boosted_Survival,PAM50_ROR_surrogate,0,0,,,,
GSE20685,tnbc,Gradient_Boosted_Survival,Cox_PH,0,0,,,,
GSE20685,tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,0,0,,,,
GSE20685,non_tnbc,Gradient_Boosted_Survival,PAM50_ROR_surrogate,0,0,,,,
GSE20685,non_tnbc,Gradient_Boosted_Survival,Cox_PH,327,83,0.03077725612936877,-0.02428598440244811,0.08738387888021455,0.2891573279508006
GSE20685,non_tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,0,0,,,,
GSE96058,overall,Gradient_Boosted_Survival,PAM50_ROR_surrogate,1480,321,0.02660906207894176,-0.011732716273623444,0.06935684640137244,0.1989487744644869
GSE96058,overall,Gradient_Boosted_Survival,Cox_PH,1483,322,0.01932083463695211,-0.010935766272051863,0.04793125060241088,0.2087482632148112
GSE96058,overall,Gradient_Boosted_Survival,Combined_ML_PAM50,1480,321,-0.036539080245674205,-0.04830339187616044,-0.024415363054826472,2.270980064705301e-09
GSE96058,tnbc,Gradient_Boosted_Survival,PAM50_ROR_surrogate,55,27,0.021818181818181848,-0.13505079676727083,0.18769958397336184,0.8009947818515628
GSE96058,tnbc,Gradient_Boosted_Survival,Cox_PH,55,27,-0.009090909090909038,-0.13242899179680234,0.12117815157917543,0.8889231407155685
GSE96058,tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,55,27,-0.011818181818181839,-0.06663400968442601,0.04005592001850656,0.6622748617397793
GSE96058,non_tnbc,Gradient_Boosted_Survival,PAM50_ROR_surrogate,1425,294,0.039657116953267235,-0.003065719183976908,0.08337538883955066,0.06911594821579065
GSE96058,non_tnbc,Gradient_Boosted_Survival,Cox_PH,1428,295,0.026341876767056793,-0.0048605391354346016,0.0580877909984905,0.10113308446453954
GSE96058,non_tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,1425,294,-0.03310858600340261,-0.04570744567620675,-0.021008233139308163,9.639034912647863e-08
METABRIC,overall,Gradient_Boosted_Survival,PAM50_ROR_surrogate,1948,1122,-0.0325665931936836,-0.055154240161231646,-0.006800330672749258,0.006686214437753483
METABRIC,overall,Gradient_Boosted_Survival,Cox_PH,1980,1143,-0.008043259109911882,-0.025255517608392505,0.0084050290781788,0.3594038235103243
METABRIC,overall,Gradient_Boosted_Survival,Combined_ML_PAM50,1948,1122,-0.03230678087168182,-0.041097597340104645,-0.023505327296026154,1.451140690404107e-12
METABRIC,tnbc,Gradient_Boosted_Survival,PAM50_ROR_surrogate,312,163,-0.061430562557456825,-0.12479047465963337,0.0012946354590759317,0.05519304827029697
METABRIC,tnbc,Gradient_Boosted_Survival,Cox_PH,320,168,-0.004518962750232225,-0.04741680304251323,0.038055160562783547,0.8371718841191783
METABRIC,tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,312,163,-0.05318644168322406,-0.08721594092434747,-0.019876168761244293,0.0024736007641386866
METABRIC,non_tnbc,Gradient_Boosted_Survival,PAM50_ROR_surrogate,1636,959,-0.02968769045919173,-0.05575120711491788,-0.003726010970231503,0.0232983051974587
METABRIC,non_tnbc,Gradient_Boosted_Survival,Cox_PH,1660,975,-0.004568172984300345,-0.021117325871343195,0.0142824821179445,0.6269574191854497
METABRIC,non_tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,1636,959,-0.03153351211102795,-0.040242545484068325,-0.023686351591477115,1.3466374610318146e-13
TCGA-BRCA,overall,Gradient_Boosted_Survival,PAM50_ROR_surrogate,211,130,0.12217715081431257,0.05087677551999266,0.2013928656777116,0.0015982471722919217
TCGA-BRCA,overall,Gradient_Boosted_Survival,Cox_PH,213,132,0.038694003318321846,-0.003555922709700583,0.08267028346725014,0.0784970661177287
TCGA-BRCA,overall,Gradient_Boosted_Survival,Combined_ML_PAM50,211,130,0.0005448931404007373,-0.01784834455727974,0.02042639271563277,0.9572991741696396
TCGA-BRCA,tnbc,Gradient_Boosted_Survival,PAM50_ROR_surrogate,33,19,0.12317073170731707,-0.05095501000571751,0.321819394527374,0.20075566455104554
TCGA-BRCA,tnbc,Gradient_Boosted_Survival,Cox_PH,33,19,0.045121951219512235,-0.09128423417988785,0.20156213295748182,0.5527562165873201
TCGA-BRCA,tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,33,19,-0.008536585365853666,-0.1160147504782839,0.09790019860973187,0.8734898498602449
TCGA-BRCA,non_tnbc,Gradient_Boosted_Survival,PAM50_ROR_surrogate,178,111,0.14971242166709597,0.07392538326405035,0.22661069570790915,0.00017578202885318097
TCGA-BRCA,non_tnbc,Gradient_Boosted_Survival,Cox_PH,180,113,0.04421854082998666,0.0030377103729923834,0.08508991435290437,0.0386149518253059
TCGA-BRCA,non_tnbc,Gradient_Boosted_Survival,Combined_ML_PAM50,178,111,0.0030903940252382522,-0.014082325210554688,0.021690492962465526,0.7323422353292408
