cohort,model,time_horizon,n,events,slope,slope_ci_low,slope_ci_high,intercept,intercept_ci_low,intercept_ci_high,calibration_in_large,calibration_in_large_ci_low,calibration_in_large_ci_high,ici,ici_ci_low,ici_ci_high
TCGA-BRCA,Gradient_Boosted_Survival,5y,213,74,1.2684266814645897,0.8250951109871982,1.8157199498735193,0.15484300232800768,-0.2753575192202177,0.6315310545370585,1.5539837198152995e-06,-0.06204450331462553,0.057923523076970164,0.07332033457819696,0.050481409937976736,0.14010018655922976
TCGA-BRCA,Cox_PH,5y,213,74,1.0131985676467574,0.4916309862884209,1.7189100351832334,0.008228151308256873,-0.4458359318242552,0.5659232262702698,-3.549287912740784e-06,-0.06332795309545332,0.0594815151717954,0.09742189861434826,0.07806211371414389,0.16650911060319254
TCGA-BRCA,PAM50_ROR_official,5y,213,74,0.01214712007192617,-0.22337732705337793,0.2521853890389301,-0.6228634062337705,-0.9316306868565589,-0.31877588214242886,1.2745595884267047e-07,-0.06579388598364024,0.061421477971315176,0.14536539876187812,0.10513396187155982,0.2118078021087132
GSE96058,Gradient_Boosted_Survival,5y,1430,299,1.2024648162335716,0.9792261208428169,1.438205376573285,-0.7563486775615377,-0.9217352905279541,-0.6049062923402638,-0.15474972905202058,-0.17515240330085377,-0.1342886094393608,0.1547497290520205,0.13570943094526627,0.1759222514370109
GSE96058,Cox_PH,5y,1430,299,0.7443387874789078,0.5511892132065667,0.9463059257504348,-0.9827090029831076,-1.146708479519447,-0.8294233654474935,-0.16486489176174238,-0.18628079347122858,-0.1451389892897259,0.16486489176174235,0.14513898928972585,0.18628079347122856
GSE96058,PAM50_ROR_official,5y,1430,299,1.47140578079674,1.1027318915629425,1.8480123355702707,-0.39561213509580634,-0.7168909311315799,-0.09017750702575597,-0.1371556746290015,-0.15814883130591956,-0.11570335287156064,0.13715567462900147,0.12172966314155725,0.16228164928435268
METABRIC,Gradient_Boosted_Survival,5y,1916,426,0.5518067924895441,0.37089385995182783,0.7634767362397318,-0.8690839979200998,-1.036799092292821,-0.6975685313033749,-0.11079091142286485,-0.1291500131889231,-0.09119115974722056,0.11079091142286483,0.09119115974722053,0.1291500131889231
METABRIC,Cox_PH,5y,1916,426,0.39207394056503814,0.21708436551537635,0.5921840959839747,-1.018985370291772,-1.1770558223706968,-0.8646736817420511,-0.13270927353244988,-0.15156728235829767,-0.1128907426091484,0.13270927353244985,0.11325008312438586,0.15156728235829764
METABRIC,PAM50_ROR_official,5y,1916,426,2.4043733819976465,1.961645654746703,2.823553573411569,0.2655604292317539,-0.059221329579130566,0.5949034056779545,-0.12487803755270244,-0.14304160651520695,-0.10512521301233055,0.1305735358191339,0.11754559071880195,0.15099651824714713
GSE20685,Gradient_Boosted_Survival,5y,320,49,0.8291422132314733,0.3318880589562246,1.3803999168887928,-1.0813672598650657,-1.56776948713794,-0.6006258186222,-0.1611918170123881,-0.19802732962275502,-0.12257566059287212,0.16119181701238813,0.1233083745337563,0.1991239154340012
GSE20685,Cox_PH,5y,320,49,0.4321643773317441,-0.22698075931120668,0.9804122045365566,-1.350588853100824,-2.0191524701111234,-0.8327073594707577,-0.15042100568812117,-0.18762747031915514,-0.1098991298644621,0.15042100568812117,0.11766580584898956,0.1902587515201
GSE20685,PAM50_ROR_official,5y,320,49,0.3093050147093588,0.14679458612624338,0.45837769448728605,-1.5156420801581407,-1.8995640420949669,-1.1874007437743865,-0.19445766156443195,-0.23172999338278782,-0.15682529719925134,0.20553824617733252,0.1778488834664268,0.2480968681151684
TCGA-BRCA,Gradient_Boosted_Survival,10y,150,120,1.3464215946620364,0.720412952501685,2.019032185850316,-0.4490629069211784,-1.358967150890957,0.566117869229956,2.120453897136443e-06,-0.06537850649387725,0.06423777542065494,0.04074208884465472,0.03388742765901582,0.11859281774627381
TCGA-BRCA,Cox_PH,10y,150,120,1.0289995509593797,0.358281809377396,1.8365445325405667,-0.037624183251527846,-1.1645720090018896,0.9986409127300543,6.533124394669798e-05,-0.06610231287294223,0.06408209991572401,0.09582813203090602,0.06972427753620204,0.16873084303232258
TCGA-BRCA,PAM50_ROR_official,10y,150,120,0.030077025127614426,-0.27456645372810135,0.3431859466721497,1.3445785063311992,0.7803639584172483,1.9876305417730205,-8.643760939230916e-07,-0.06676705045056777,0.0662156127975284,0.08342814932575054,0.0769885466463513,0.1801968436740386
GSE96058,Gradient_Boosted_Survival,10y,322,322,,,,,,,,,,,,
GSE96058,Cox_PH,10y,322,322,,,,,,,,,,,,
GSE96058,PAM50_ROR_official,10y,322,322,,,,,,,,,,,,
METABRIC,Gradient_Boosted_Survival,10y,1713,759,0.806224104271218,0.5702574682058579,1.0518639625635962,-1.2890918643920763,-1.630208471125225,-0.953470734323438,-0.3362070753507482,-0.35896546019271575,-0.3125123140253454,0.3362070753507481,0.3124807205105933,0.35899665864296576
METABRIC,Cox_PH,10y,1713,759,0.45260168957723745,0.270483228704837,0.6405748655938419,-0.8792801545187483,-1.1604836803625524,-0.5880542706196639,-0.35265448599959065,-0.3755116017777226,-0.32894181222822033,0.35265448599959076,0.3289418122282202,0.3755116017777226
METABRIC,PAM50_ROR_official,10y,1713,759,3.9228992111870054,3.068116662190413,4.828506158478866,-5.675784163382915,-6.949900744373443,-4.458512587130948,-0.35720113805924486,-0.3806400589195475,-0.3333550374151627,0.35720113805924486,0.3333550374151626,0.3806400589195475
GSE20685,Gradient_Boosted_Survival,10y,179,77,0.9050178548955824,0.2610175892386593,1.6615259803999465,-1.410597146994357,-2.381023632942701,-0.5324841048922667,-0.3385466064189034,-0.40527212854938127,-0.2699397107379887,0.3385466064189034,0.27016348431935633,0.402612291060739
GSE20685,Cox_PH,10y,179,77,0.45488117081904933,-0.20938996726204642,1.0868951261713131,-0.8195247585998446,-1.674171485321562,0.007764444411660521,-0.3273421928112809,-0.3970026362680493,-0.25835475227625254,0.3273421928112809,0.2603263865477196,0.3993123549640799
GSE20685,PAM50_ROR_official,10y,179,77,0.4217288958773838,0.06005017076747232,0.7733630822782527,-0.8696683658285859,-1.4382229483561897,-0.2776627649791281,-0.3712022688761238,-0.4432724011222619,-0.29880910542122635,0.37120226887612384,0.30325612833222987,0.44334251409291436
