cohort,threshold,strategy,net_benefit,n,events,analysis_type
TCGA-BRCA,0.05,Treat all,0.3130714109216704,213,74,exploratory_secondary
TCGA-BRCA,0.05,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.05,Pathway ML,0.3130714109216704,213,74,exploratory_secondary
TCGA-BRCA,0.05,Cox baseline,0.3130714109216704,213,74,exploratory_secondary
TCGA-BRCA,0.05,PAM50-ROR,0.3130714109216704,213,74,exploratory_secondary
TCGA-BRCA,0.075,Treat all,0.29450577337901285,213,74,exploratory_secondary
TCGA-BRCA,0.075,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.075,Pathway ML,0.29450577337901285,213,74,exploratory_secondary
TCGA-BRCA,0.075,Cox baseline,0.29450577337901285,213,74,exploratory_secondary
TCGA-BRCA,0.075,PAM50-ROR,0.29450577337901285,213,74,exploratory_secondary
TCGA-BRCA,0.1,Treat all,0.2749087115284299,213,74,exploratory_secondary
TCGA-BRCA,0.1,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.1,Pathway ML,0.2749087115284299,213,74,exploratory_secondary
TCGA-BRCA,0.1,Cox baseline,0.2749087115284299,213,74,exploratory_secondary
TCGA-BRCA,0.1,PAM50-ROR,0.2749087115284299,213,74,exploratory_secondary
TCGA-BRCA,0.125,Treat all,0.2541918175720993,213,74,exploratory_secondary
TCGA-BRCA,0.125,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.125,Pathway ML,0.2541918175720993,213,74,exploratory_secondary
TCGA-BRCA,0.125,Cox baseline,0.2541918175720993,213,74,exploratory_secondary
TCGA-BRCA,0.125,PAM50-ROR,0.2541918175720993,213,74,exploratory_secondary
TCGA-BRCA,0.15,Treat all,0.2322562827948081,213,74,exploratory_secondary
TCGA-BRCA,0.15,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.15,Pathway ML,0.24661695664181166,213,74,exploratory_secondary
TCGA-BRCA,0.15,Cox baseline,0.2322562827948081,213,74,exploratory_secondary
TCGA-BRCA,0.15,PAM50-ROR,0.2322562827948081,213,74,exploratory_secondary
