cohort,baseline,endpoint,subgroup,n,events,harrell_c,harrell_c_ci_low,harrell_c_ci_high,uno_c,auc_3y,auc_5y,auc_10y,brier_5y,hr,hr_ci_low,hr_ci_high,hr_p,status,note
GSE20685,Oncotype_DX_21_gene_surrogate,OS,overall,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
GSE20685,Oncotype_DX_21_gene_surrogate,OS,tnbc,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
GSE20685,Oncotype_DX_21_gene_surrogate,OS,non_tnbc,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
GSE20685,PAM50_ROR_surrogate,OS,overall,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
GSE20685,PAM50_ROR_surrogate,OS,tnbc,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
GSE20685,PAM50_ROR_surrogate,OS,non_tnbc,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
GSE96058,Oncotype_DX_21_gene_surrogate,OS,overall,1251,242,0.5666748170857863,0.529504555115234,0.601520618252191,0.5766694796049713,0.5764146772767462,0.572539385380479,,0.273943418762997,1.4650156406464363,1.1417984035748159,1.8797283483835723,0.002676441051550675,ok,"Paik 2004 group-weight surrogate on within-cohort z-scored expression; genes present ER=4, proliferation=5, HER2=2, invasion=2. Commercial reference normalization is unavailable. Restricted to ER-positive samples for performance evaluation."
GSE96058,Oncotype_DX_21_gene_surrogate,OS,tnbc,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
GSE96058,Oncotype_DX_21_gene_surrogate,OS,non_tnbc,1251,242,0.5666748170857863,0.529504555115234,0.601520618252191,0.5766694796049713,0.5764146772767462,0.572539385380479,,0.273943418762997,1.4650156406464363,1.1417984035748159,1.8797283483835723,0.002676441051550675,ok,"Paik 2004 group-weight surrogate on within-cohort z-scored expression; genes present ER=4, proliferation=5, HER2=2, invasion=2. Commercial reference normalization is unavailable. Restricted to ER-positive samples for performance evaluation."
GSE96058,PAM50_ROR_surrogate,OS,overall,1480,321,0.6379256542805515,0.6043787147554376,0.6704865722797019,0.6382448649950125,0.6816917354750542,0.6457482438958967,,0.263969812458895,2.0984887059385424,1.6756905011825702,2.62796432028699,1.0684452946829042e-10,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes), tumor-size modifier. Official genefu reproduction should replace this if package scoring succeeds."
GSE96058,PAM50_ROR_surrogate,OS,tnbc,55,27,0.5836363636363636,0.46653990630474806,0.691366279436966,0.583990456362732,0.6671428571428571,0.6,,0.261385492086653,1.5478874190224576,0.7238950804756162,3.3098103946138235,0.2598699694183831,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes), tumor-size modifier. Official genefu reproduction should replace this if package scoring succeeds."
GSE96058,PAM50_ROR_surrogate,OS,non_tnbc,1425,294,0.6236014735560053,0.5911316595499848,0.6554656469792146,0.6251568352182638,0.6585686685575698,0.6323530806880793,,0.26798408177917965,1.946766910200813,1.5423806990138391,2.4571763670772016,2.052556841138142e-08,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes), tumor-size modifier. Official genefu reproduction should replace this if package scoring succeeds."
METABRIC,Oncotype_DX_21_gene_surrogate,OS,overall,1507,882,0.5873809044442857,0.5659791867021272,0.609160190982279,0.5789517674080038,0.6115755917699566,0.6316835444405664,0.6110363163920284,0.2612098843012442,1.5590020860375686,1.3654635538343434,1.7799724477775076,5.1742750891896954e-11,ok,"Paik 2004 group-weight surrogate on within-cohort z-scored expression; genes present ER=4, proliferation=5, HER2=2, invasion=2. Commercial reference normalization is unavailable. Restricted to ER-positive samples for performance evaluation."
METABRIC,Oncotype_DX_21_gene_surrogate,OS,tnbc,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
METABRIC,Oncotype_DX_21_gene_surrogate,OS,non_tnbc,1507,882,0.5873809044442857,0.5659791867021272,0.609160190982279,0.5789517674080038,0.6115755917699566,0.6316835444405664,0.6110363163920284,0.2612098843012442,1.5590020860375686,1.3654635538343434,1.7799724477775076,5.1742750891896954e-11,ok,"Paik 2004 group-weight surrogate on within-cohort z-scored expression; genes present ER=4, proliferation=5, HER2=2, invasion=2. Commercial reference normalization is unavailable. Restricted to ER-positive samples for performance evaluation."
METABRIC,PAM50_ROR_surrogate,OS,overall,1948,1122,0.5884726101098416,0.5700360319696237,0.6074614909891443,0.5736863556337224,0.6907534086679415,0.6597749367831182,0.6041312040752321,0.2571498266082092,1.3386251450307396,1.1914996716113926,1.5039175600318606,9.132809608009062e-07,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes), tumor-size modifier. Official genefu reproduction should replace this if package scoring succeeds."
METABRIC,PAM50_ROR_surrogate,OS,tnbc,312,163,0.5810029358559948,0.5352113593429952,0.625434688696048,0.571969072633795,0.6360038566377453,0.6167122482308283,0.5815875687685702,0.2580107681177872,1.250450080310517,0.9215912195023983,1.696658312557316,0.15113912570634924,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes), tumor-size modifier. Official genefu reproduction should replace this if package scoring succeeds."
METABRIC,PAM50_ROR_surrogate,OS,non_tnbc,1636,959,0.5896192122172498,0.5689465543807288,0.6092524580204149,0.5796647759926934,0.6530737919681268,0.6482433257476403,0.6116518511959144,0.26096290331296723,1.4203851882512915,1.2519813815518726,1.6114409628862898,5.0341435817937654e-08,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes), tumor-size modifier. Official genefu reproduction should replace this if package scoring succeeds."
TCGA-BRCA,Oncotype_DX_21_gene_surrogate,OS,overall,118,62,0.5782451379466305,0.48313574663811576,0.6692189339401999,0.5710364722252215,0.6650717703349281,0.6202761627906976,0.5338091527618044,0.2556391086945756,1.7560054425936413,1.064444853520323,2.8968669482694036,0.02748996198731935,ok,"Paik 2004 group-weight surrogate on within-cohort z-scored expression; genes present ER=4, proliferation=5, HER2=2, invasion=2. Commercial reference normalization is unavailable. Restricted to ER-positive samples for performance evaluation."
TCGA-BRCA,Oncotype_DX_21_gene_surrogate,OS,tnbc,0,0,,,,,,,,,,,,,too_few_events,Fewer than 10 samples or 2 events after score/endpoint filtering.
TCGA-BRCA,Oncotype_DX_21_gene_surrogate,OS,non_tnbc,118,62,0.5782451379466305,0.48313574663811576,0.6692189339401999,0.5710364722252215,0.6650717703349281,0.6202761627906976,0.5338091527618044,0.2556391086945756,1.7560054425936413,1.064444853520323,2.8968669482694036,0.02748996198731935,ok,"Paik 2004 group-weight surrogate on within-cohort z-scored expression; genes present ER=4, proliferation=5, HER2=2, invasion=2. Commercial reference normalization is unavailable. Restricted to ER-positive samples for performance evaluation."
TCGA-BRCA,PAM50_ROR_surrogate,OS,overall,211,130,0.5521583822728098,0.4903683986938643,0.6108196966096084,0.5531494031387475,0.6229923922231614,0.5676990271987294,0.5294108836147645,0.2738143133575973,1.2269831279713495,0.8715710583173751,1.7273262827620721,0.24109843353135735,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes). Official genefu reproduction should replace this if package scoring succeeds."
TCGA-BRCA,PAM50_ROR_surrogate,OS,tnbc,33,19,0.4902439024390244,0.3530290508740475,0.6237837498204796,0.503128571273929,0.5165289256198348,0.4481481481481482,0.5334885904101675,0.2862532083151205,0.5846665644084744,0.23512534011428482,1.4538415611480107,0.24816990238823106,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes). Official genefu reproduction should replace this if package scoring succeeds."
TCGA-BRCA,PAM50_ROR_surrogate,OS,non_tnbc,178,111,0.5450253240621512,0.4776319744829825,0.6076455293486502,0.5528885801927546,0.5817423743691025,0.5533045977011495,0.5085070828167771,0.2792205184359341,1.3324567306886264,0.919260217562842,1.931380152471409,0.12965396921572878,ok,"PAM50-ROR surrogate, not official ROR-S/ROR-P/ROR-PT; published intrinsic subtype risk mapping, proliferation modifier (5 genes). Official genefu reproduction should replace this if package scoring succeeds."
