candidate_id,feature_set,model,n_features,config,overall_cv_cindex,tnbc_cv_cindex,valid_tnbc_folds,composite_cv_cindex,fold_cindexes,fold_tnbc_cindexes
component7_interactions__DeepSurv__30028269,component7_interactions,DeepSurv,43,"{""dropout"": 0.1, ""epochs"": 120, ""hidden_dims"": [64, 32], ""lr"": 0.001, ""patience"": 15, ""tnbc_weight"": 1, ""weight_decay"": 0.0001}",0.6345928607106279,0.6475081699346406,4,0.6410505153226342,"[0.6416184971098265, 0.5898203592814372, 0.7130559540889526, 0.5787781350482315, 0.6496913580246914]","[0.5, NaN, 0.9444444444444444, 0.47058823529411764, 0.675]"
ensemble_top3__Rank_Average_Ensemble__265520,ensemble_top3,Rank_Average_Ensemble,0,"{""member_labels"": [""component7_interactions:DeepSurv"", ""seven_interactions:Elastic_Net_Cox"", ""seven_interactions:Random_Survival_Forest""], ""members"": [""component7_interactions__DeepSurv__30028269"", ""seven_interactions__Elastic_Net_Cox__26715411"", ""seven_interactions__Random_Survival_Forest__51797905""]}",0.6446729082721024,0.6280487804878049,1,0.6363608443799537,[],[]
seven_interactions__Elastic_Net_Cox__26715411,seven_interactions,Elastic_Net_Cox,14,"{""alpha"": 0.01, ""l1_ratio"": 0.1, ""tnbc_weight"": 1}",0.6234974848626104,0.6174428104575164,4,0.6204701476600634,"[0.6054913294797688, 0.5673652694610778, 0.6585365853658537, 0.6688102893890675, 0.6172839506172839]","[0.4166666666666667, NaN, 0.7222222222222222, 0.7058823529411765, 0.625]"
seven_interactions__Random_Survival_Forest__51797905,seven_interactions,Random_Survival_Forest,14,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300, ""tnbc_weight"": 1}",0.6032768798902228,0.634109477124183,4,0.618693178507203,"[0.6127167630057804, 0.5494011976047904, 0.648493543758967, 0.590032154340836, 0.6157407407407407]","[0.3333333333333333, NaN, 0.7222222222222222, 0.7058823529411765, 0.775]"
seven_interactions__Cox_PH__27132023,seven_interactions,Cox_PH,14,"{""penalizer"": 0.01, ""tnbc_weight"": 1}",0.6227599945643676,0.6111928104575164,4,0.616976402510942,"[0.6069364161849711, 0.5703592814371258, 0.6614060258249641, 0.6639871382636656, 0.6111111111111112]","[0.4166666666666667, NaN, 0.7222222222222222, 0.7058823529411765, 0.6]"
seven_interactions__Elastic_Net_Cox__54672886,seven_interactions,Elastic_Net_Cox,14,"{""alpha"": 0.001, ""l1_ratio"": 0.5, ""tnbc_weight"": 1}",0.6187977148052703,0.6111928104575164,4,0.6149952626313934,"[0.6011560693641619, 0.5673652694610778, 0.6585365853658537, 0.6527331189710611, 0.6141975308641975]","[0.4166666666666667, NaN, 0.7222222222222222, 0.7058823529411765, 0.6]"
seven_interactions__Elastic_Net_Cox__67150290,seven_interactions,Elastic_Net_Cox,14,"{""alpha"": 0.001, ""l1_ratio"": 0.1, ""tnbc_weight"": 1}",0.6185686554114243,0.6111928104575164,4,0.6148807329344703,"[0.5997109826589595, 0.5688622754491018, 0.6556671449067432, 0.6559485530546624, 0.6126543209876543]","[0.4166666666666667, NaN, 0.7222222222222222, 0.7058823529411765, 0.6]"
seven_interactions__Random_Survival_Forest__98373082,seven_interactions,Random_Survival_Forest,14,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300, ""tnbc_weight"": 2}",0.6096204102724225,0.6118872549019607,4,0.6107538325871916,"[0.6473988439306358, 0.5778443113772455, 0.6327116212338594, 0.5852090032154341, 0.6049382716049383]","[0.5, NaN, 0.6666666666666666, 0.7058823529411765, 0.575]"
seven_interactions__DeepSurv__30028269,seven_interactions,DeepSurv,14,"{""dropout"": 0.1, ""epochs"": 120, ""hidden_dims"": [64, 32], ""lr"": 0.001, ""patience"": 15, ""tnbc_weight"": 1, ""weight_decay"": 0.0001}",0.627587716960801,0.5887254901960784,4,0.6081566035784397,"[0.6286127167630058, 0.5898203592814372, 0.6642754662840746, 0.6688102893890675, 0.5864197530864198]","[0.3333333333333333, NaN, 0.8333333333333334, 0.5882352941176471, 0.6]"
seven_interactions__DeepSurv__33872510,seven_interactions,DeepSurv,14,"{""dropout"": 0.2, ""epochs"": 150, ""hidden_dims"": [128, 64], ""lr"": 0.0005, ""patience"": 20, ""tnbc_weight"": 2, ""weight_decay"": 0.0001}",0.630684617966996,0.5777369281045751,4,0.6042107730357855,"[0.630057803468208, 0.5838323353293413, 0.6757532281205165, 0.6511254019292605, 0.6126543209876543]","[0.4166666666666667, NaN, 0.7222222222222222, 0.6470588235294118, 0.525]"
