feature_set,n_features,cohort,n,events,harrell_c,harrell_c_ci_low,harrell_c_ci_high,uno_c,brier_5y,ici,delta_vs_pam50,delta_ci_low,delta_ci_high,delta_p
Pathways_only,7,GSE96058,1483,322,0.49105557026305025,0.4623235118580442,0.518994030586526,0.4885770265953069,0.2937014162065164,0.3113210595555015,-0.14176072778031812,-0.18532119769501373,-0.09688092456036439,4.038939748538586e-10
Pathways_only,7,METABRIC,1979,1143,0.5011889584012809,0.48302461662732366,0.5188658008732635,0.5021062758933149,0.28902110842520284,0.17583309562393504,-0.09370830491890769,-0.11934892699737716,-0.06776529430177801,2.806791135582901e-12
Pathways_only,7,GSE20685,327,83,0.554488547446294,0.492703268764025,0.6165186070951381,0.5391075092835883,0.28042960533475003,0.2799190311399755,-0.08068952435149612,-0.17857068607685006,0.018800922109840034,0.10829587214000824
Clinical_only,2,GSE96058,1483,322,0.6667649394719742,0.6394812202122394,0.6943404270692982,0.6615767130452334,0.21346099102381302,0.1945932440512732,0.033948641428605875,-0.004340540076488824,0.07189240526101805,0.09546304176973971
Clinical_only,2,METABRIC,1979,1143,0.5450536662021526,0.536165452129082,0.5551027372884082,0.5465545882364471,0.2412168516028816,0.10627150686847914,-0.04984359711803599,-0.06979618906647994,-0.030010569616647876,2.313580412531158e-06
Clinical_only,2,GSE20685,327,83,0.510148432683644,0.4945788898319332,0.5330407103368137,0.5076045190369576,0.2349188512299252,0.22483994265371499,-0.1250296391141461,-0.18761207342805025,-0.0527448141937776,0.00019192322741308967
Pathways+Clinical,9,GSE96058,1483,322,0.6626242449038531,0.6334383560818488,0.6913570326300877,0.6571606523087876,0.24555719188748043,0.29503845428123265,0.029807946860484713,-0.01095263402040907,0.06712130497925319,0.14566211057501235
Pathways+Clinical,9,METABRIC,1979,1143,0.5548922228481632,0.5397729091844891,0.5700055117091479,0.553427649106639,0.26991197819511675,0.12333568270271825,-0.040005040472025355,-0.06345924175990914,-0.01806266555111984,0.0007921341241448518
Pathways+Clinical,9,GSE20685,327,83,0.5651823398302271,0.5151210725259685,0.6172621564570787,0.5463278243479628,0.2774481602235008,0.3397758809809849,-0.06999573196756292,-0.15375488366478451,0.020409002628469126,0.10545978333467312
Proliferation_only,1,GSE96058,1483,322,0.47419677023417006,0.4455201458224195,0.5054574403663122,0.4724508402273614,0.29027007893032997,0.4265851273575524,-0.1586195278091983,-0.20272991298902532,-0.11621696672619211,4.1948616485145725e-12
Proliferation_only,1,METABRIC,1979,1143,0.4758961662762772,0.4565323624007212,0.49246115638527793,0.4764498008740305,0.28885173029555244,0.28160408076731913,-0.11900109704391137,-0.14438447037125005,-0.0940845076444212,2.0136532401004163e-19
Proliferation_only,1,GSE20685,327,83,0.4594062692654242,0.40120342046339386,0.5142037867818157,0.4704982982453669,0.2841084514794945,0.3951071268773153,-0.17577180253236585,-0.2668585640579441,-0.08243608622721356,0.00014227292990936033
Hormone_only,1,GSE96058,1483,322,0.5262123655267021,0.5036049202956271,0.5464191698003137,0.5251943366426441,0.2951632511632323,0.20629674565540876,-0.10660393251666622,-0.14095762585097643,-0.07273128199246116,4.585689824906827e-10
Hormone_only,1,METABRIC,1979,1143,0.5323798440418656,0.5196434870536027,0.5451143673833349,0.5286720449222215,0.28625677879357914,0.17220514594166436,-0.062517419278323,-0.08208420261520215,-0.043536053251612555,2.1582587773164573e-10
Hormone_only,1,GSE20685,327,83,0.5728647982169109,0.5319825509623636,0.6095360030482468,0.556884576149978,0.28142721802881143,0.19232133094997905,-0.062313273580879125,-0.1248652398463528,0.006422566166383655,0.06516427104320226
Immune_only,1,GSE96058,1483,322,0.5022285865562802,0.4718230065749581,0.5344357490880536,0.49229685138874535,0.2746236665328173,0.38991139851790263,-0.13058771148708814,-0.17345826244219206,-0.08515559784976318,7.165867348609087e-09
Immune_only,1,METABRIC,1979,1143,0.5206188661902926,0.5037623516688272,0.5383560745478715,0.5162420187263507,0.2728387050389143,0.16968703849124067,-0.07427839712989592,-0.09923985599576811,-0.04984247543137378,1.3567708534601829e-09
Immune_only,1,GSE20685,327,83,0.45758049983402094,0.3968380310156983,0.5151343672762455,0.456582830582956,0.2860157867724083,0.24704365105139403,-0.17759757196376913,-0.2515132606310473,-0.0998568370060145,9.726831827892415e-06
Top3_pathways,3,GSE96058,1483,322,0.49392674063199443,0.46915351219747725,0.5189469346172463,0.49222729766835954,0.2987526519817617,0.2832266540886077,-0.13888955741137393,-0.18440415336917257,-0.09550319570394011,5.904599314262542e-10
Top3_pathways,3,METABRIC,1979,1143,0.4999540427550627,0.48342571171965526,0.5164556844784377,0.5023153963758384,0.2957198291124161,0.1964246469687219,-0.09494322056512583,-0.1222766850358152,-0.07067596569846467,5.638811784011431e-13
