cohort,subgroup,headline_model,comparator,n,events,delta_cindex,ci_low,ci_high,p
GSE20685,overall,Rescue_DeepSurv,PAM50_ROR_official,327,83,-0.049698866600275005,-0.13586153131438458,0.03354873338557862,0.2511367807702468
GSE20685,tnbc,Rescue_DeepSurv,PAM50_ROR_official,0,0,,,,
GSE20685,non_tnbc,Rescue_DeepSurv,PAM50_ROR_official,327,83,-0.049698866600275005,-0.13586153131438458,0.03354873338557862,0.2511367807702468
GSE96058,overall,Rescue_DeepSurv,PAM50_ROR_official,1483,322,-0.034691102500541526,-0.08260872423876213,0.009464148276600725,0.13870774232420907
GSE96058,tnbc,Rescue_DeepSurv,PAM50_ROR_official,55,27,-0.03863636363636369,-0.22265183252801488,0.1211571682646266,0.6621474148339463
GSE96058,non_tnbc,Rescue_DeepSurv,PAM50_ROR_official,1428,295,-0.018195422559119212,-0.06335443653783115,0.0247378227957203,0.42558733094164725
METABRIC,overall,Rescue_DeepSurv,PAM50_ROR_official,1980,1143,-0.013144513297951188,-0.03689714911784646,0.011980879998282052,0.2970698696073525
METABRIC,tnbc,Rescue_DeepSurv,PAM50_ROR_official,320,168,0.009009769969310466,-0.06189754023485543,0.07766846178161507,0.8053217759132824
METABRIC,non_tnbc,Rescue_DeepSurv,PAM50_ROR_official,1660,975,-0.010093285789126827,-0.03292677900539444,0.014858881442686026,0.4314187129749468
TCGA-BRCA,overall,Rescue_DeepSurv,PAM50_ROR_official,213,132,0.4220786916330884,0.36224017165484435,0.48891675415996605,1.812226668254232e-42
TCGA-BRCA,tnbc,Rescue_DeepSurv,PAM50_ROR_official,33,19,0.42439024390243907,0.27330305872001487,0.5906030157997924,2.0814535153069864e-07
TCGA-BRCA,non_tnbc,Rescue_DeepSurv,PAM50_ROR_official,180,113,0.44536479250334676,0.38375639408058626,0.5110335660470696,5.1939311248001276e-42
