subtype,cohort,n,events,ml_cindex,ml_ci_low,ml_ci_high,pam50_cindex,delta_vs_pam50,delta_ci_low,delta_ci_high,logrank_p,status,analysis_type
LumA,GSE96058,628,90,0.6591163526868438,0.599537755837774,0.7180387021484009,0.6164298949969117,0.04268645768993207,-0.02860141575487039,0.12188397338798564,0.011724335552745399,ok,exploratory_secondary
LumB,GSE96058,414,95,0.6930432955023119,0.6426925329667552,0.7461373159670537,0.5358493965051342,0.15719389899717773,0.0872921771142576,0.22682411368718083,0.008004574936215288,ok,exploratory_secondary
Her2,GSE96058,166,50,0.6685937274172569,0.5920929661500539,0.7458528228675058,0.5581731464084405,0.11042058100881635,0.0008212693473413666,0.21467693227290188,0.7260591039437669,ok,exploratory_secondary
Basal,GSE96058,178,70,0.5960251470290002,0.5388603609815275,0.6542889225720324,0.5197728655445143,0.07625228148448593,-0.01900015051083135,0.166859235429926,,ok,exploratory_secondary
Normal,GSE96058,97,17,0.5942426319396847,0.460790137343121,0.7296316928132932,0.587731322823852,0.006511309115832753,-0.1865306044063186,0.20086884585327736,0.51395157782741,ok,exploratory_secondary
LumA,METABRIC,579,274,0.5709908849055781,0.5326712146579266,0.6107840813430242,0.5406853765973222,0.030305508308255957,-0.018294057805126877,0.08400776015215784,0.10463467825801001,ok,exploratory_secondary
LumB,METABRIC,827,550,0.5613939118442443,0.5388069233327945,0.5840963430302416,0.5554999113973789,0.005894000446865388,-0.027950925873099376,0.04074284190183015,0.0009116194387319242,ok,exploratory_secondary
Her2,METABRIC,239,158,0.5219630752764894,0.48910218922310317,0.5534536961090765,0.5207590082054941,0.001204067070995296,-0.06686754027530888,0.06821313127228366,0.7376977518688861,ok,exploratory_secondary
Basal,METABRIC,270,130,0.5125790060726236,0.4873485341696979,0.5379874588951381,0.4970049985541372,0.015574007518486421,-0.041034791966590024,0.07134137822446102,0.20468550899491558,ok,exploratory_secondary
Normal,METABRIC,64,31,0.546146953405018,0.4345561200534946,0.6369517051057547,0.6724910394265233,-0.12634408602150538,-0.2752191013727396,0.015267462557677256,0.7041016336405015,ok,exploratory_secondary
LumA,GSE20685,116,17,0.5243628185907047,0.3833359369808336,0.6616991013912193,0.6529235382308846,-0.1285607196401799,-0.2875486574503406,0.025665780766936035,0.25986401521171776,ok,exploratory_secondary
LumB,GSE20685,72,25,0.5572720422004521,0.4572777083806495,0.654382457588514,0.6141672946495855,-0.056895252449133404,-0.1927827380952382,0.07230124936949218,0.3430998906545756,ok,exploratory_secondary
Her2,GSE20685,75,25,0.5137976346911958,0.4442996823753149,0.5928826326079923,0.6826544021024967,-0.16885676741130096,-0.29564846333208555,-0.020862002262286444,0.354553866959057,ok,exploratory_secondary
Basal,GSE20685,48,10,0.5089514066496164,0.4295481286418646,0.6370992328874902,0.3887468030690537,0.12020460358056267,-0.10703375124431655,0.39706985294117636,,ok,exploratory_secondary
Normal,GSE20685,16,6,,,,,,,,,skipped_low_n_or_events,exploratory_secondary
