cohort,pathway,n_genes_defined,n_genes_present,coverage,scored,qc_type,feature,components_requested,components_present,n_components_present
TCGA-BRCA,HALLMARK_ADIPOGENESIS,200.0,189.0,0.945,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_ALLOGRAFT_REJECTION,200.0,195.0,0.975,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_ANDROGEN_RESPONSE,101.0,97.0,0.9603960396039604,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_ANGIOGENESIS,36.0,36.0,1.0,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_APICAL_JUNCTION,200.0,192.0,0.96,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_APICAL_SURFACE,44.0,43.0,0.9772727272727273,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_APOPTOSIS,161.0,158.0,0.9813664596273292,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_BILE_ACID_METABOLISM,112.0,112.0,1.0,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74.0,72.0,0.972972972972973,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_COAGULATION,138.0,136.0,0.9855072463768116,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_COMPLEMENT,200.0,195.0,0.975,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_DNA_REPAIR,150.0,139.0,0.9266666666666666,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_E2F_TARGETS,200.0,187.0,0.935,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200.0,194.0,0.97,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_ESTROGEN_RESPONSE_EARLY,200.0,190.0,0.95,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_ESTROGEN_RESPONSE_LATE,200.0,193.0,0.965,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_FATTY_ACID_METABOLISM,158.0,153.0,0.9683544303797469,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_G2M_CHECKPOINT,200.0,184.0,0.92,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_GLYCOLYSIS,200.0,195.0,0.975,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_HEDGEHOG_SIGNALING,36.0,35.0,0.9722222222222222,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_HEME_METABOLISM,200.0,190.0,0.95,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_HYPOXIA,200.0,190.0,0.95,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_IL2_STAT5_SIGNALING,199.0,193.0,0.9698492462311558,True,gene_coverage,,,,
TCGA-BRCA,HALLMARK_IL6_JAK_STAT3_SIGNALING,87.0,87.0,1.0,True,gene_coverage,,,,
